Zotero Key,DOI,Title,Year,Authors
M68WDV7V,,SentinelAgent: graph-based anomaly detection in multi-agent systems,2025,"He, Xu; Wu, Di; Zhai, Yan; Sun, Kun"
J6R68X5R,,Client-side zero-shot LLM inference for comprehensive In-browser URL analysis,2025,"Cohen, Avihay"
XFKBUUTP,,BEAR: BGP event analysis and reporting,2025,"Li, Hanqing; Fedeli, Melania; Kolar, Vinay; Klabjan, Diego"
NQEDJ6TG,,IRCopilot: automated incident response with large language models,2025,"Lin, Xihuan; Zhang, Jie; Deng, Gelei; Liu, Tianzhe; Zhang, Tianwei; Guo, Qing; Chen, Riqing"
XXQ2H8IN,,"JavaSith: a client-side framework for analyzing potentially malicious extensions in browsers, VS code, and NPM packages",2025,"Cohen, Avihay"
BIVFMCUP,,ChestyBot: detecting and disrupting chinese communist party influence stratagems,2025,"Stoffolano, Matthew; Rout, Ayush; Pelletier, Justin M."
ZBMFH5WE,,Benchmarking LLMs in an embodied environment for blue team threat hunting,2025,"Liu, Xiaoqun; Yu, Feiyang; Li, Xi; Yan, Guanhua; Yang, Ping; Xi, Zhaohan"
S2F8HZIJ,,RuleGenie: SIEM detection rule set optimization,2025,"Shukla, Akansha; Gandhi, Parth Atulbhai; Elovici, Yuval; Shabtai, Asaf"
RFSHFEGN,,AI-driven IRM: transforming insider risk management with adaptive scoring and LLM-based threat detection,2025,"Koli, Lokesh; Kalra, Shubham; Thakur, Rohan; Saifi, Anas; Singh, Karanpreet"
DMZAGJZJ,,Detection method for prompt injection by integrating pre-trained model and heuristic feature engineering,2025,"Ji, Yi; Li, Runzhi; Mao, Baolei"
6PQDDH55,,A unified framework for human AI collaboration in security operations centers with trusted autonomy,2025,"Mohsin, Ahmad; Janicke, Helge; Ibrahim, Ahmed; Sarker, Iqbal H.; Camtepe, Seyit"
HU8M78S2,,LLM-BSCVM: an LLM-based blockchain smart contract vulnerability management framework,2025,"Jin, Yanli; Li, Chunpei; Fan, Peng; Liu, Peng; Li, Xianxian; Liu, Chen; Qiu, Wangjie"
AI6CWI6U,,MultiPhishGuard: an LLM-based multi-agent system for phishing email detection,2025,"Xue, Yinuo; Spero, Eric; Koh, Yun Sing; Russello, Giovanni"
5T8PH7VC,,VAU-R1: advancing video anomaly understanding via reinforcement fine-tuning,2025,"Zhu, Liyun; Chen, Qixiang; Shen, Xi; Cun, Xiaodong"
FD3TP6ES,,Holmes: automated fact check with large language models,2025,"Ou, Haoran; Deng, Gelei; Han, Xingshuo; Zhang, Jie; He, Xinlei; Qiu, Han; Guo, Shangwei; Zhang, Tianwei"
ZB84THD8,,ACSE-eval: can LLMs threat model real-world cloud infrastructure?,2025,"Munshi, Sarthak; Pathak, Swapnil; Ghatode, Sonam; Priyadarshini, Thenuga; Chandramouleeswaran, Dhivya; Rana, Ashutosh"
