Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
CyberNER-LLM: Cyber Threat Intelligence Named Entity Recognition With Large Language Model,Information and Communications Security,,,,10.1007/978-981-95-3543-9_28,Xinzheng LiuWangqun LinZhaoyun Ding,2026,https://link.springer.com/chapter/10.1007/978-981-95-3543-9_28,Conference paper
Large Language Model-Based Network Intrusion Detection,Proceedings of International Conference on Information Technology and Applications,,,,10.1007/978-981-96-1758-6_26,Dhruv DaveyKayvan KarimHani Ragab HassenHadj Batatia,2025,https://link.springer.com/chapter/10.1007/978-981-96-1758-6_26,Conference paper
Generative AI revolution in cybersecurity: a comprehensive review of threat intelligence and operations,Artificial Intelligence Review,,,,10.1007/s10462-025-11219-5,Mueen UddinMuhammad Saad IrshadIrfan Ali KandhroFuhid AlanaziFahad AhmedMuhammad MaazSaddam HussainSyed Sajid Ullah,2025,https://link.springer.com/article/10.1007/s10462-025-11219-5,Article
Large Language Model Framework for Log Sequence Anomaly Detection,Progress in Artificial Intelligence,,,,10.1007/978-3-032-05176-9_25,João ReisMiguel AreiasJorge G. Barbosa,2026,https://link.springer.com/chapter/10.1007/978-3-032-05176-9_25,Conference paper
Adaptive Web Crawling for&#xa0;Threat Intelligence Using a&#xa0;Reinforcement Learning-Enhanced Large Language Model,Cyberspace Simulation and Evaluation,,,,10.1007/978-981-96-4506-0_22,Huchen ZhouKe ZhouXiayu XiangZhaoquan Gu,2025,https://link.springer.com/chapter/10.1007/978-981-96-4506-0_22,Conference paper
"Generative AI for cyber threat intelligence: applications, challenges, and analysis of real-world case studies",Artificial Intelligence Review,,,,10.1007/s10462-025-11338-z,Prasasthy BalasubramanianSonali LiyanaHamsini SankaranShambavi SivaramakrishnanSruthi PusuluriSusanna PirttikangasElla Peltonen,2025,https://link.springer.com/article/10.1007/s10462-025-11338-z,Article
Threat Intelligence Entity Recognition Based on Large Language Model with Contrastive Learning,Neural Information Processing,,,,10.1007/978-981-96-7005-5_11,Yuchen SunJianyi LiuRu Zhang,2025,https://link.springer.com/chapter/10.1007/978-981-96-7005-5_11,Conference paper
Optimization for threat classification of various data types-based on ML model and LLM,Scientific Reports,,,,10.1038/s41598-025-05182-y,Chaerim HongTaeyeon Oh,2025,https://link.springer.com/article/10.1038/s41598-025-05182-y,Article
Artificial Intelligence and Cyber Security,"Machine Learning, Optimization, and Data Science",,,,10.1007/978-3-031-82481-4_8,Martti Lehto,2025,https://link.springer.com/chapter/10.1007/978-3-031-82481-4_8,Conference paper
Large Language Model and&#xa0;Variational Autoencoder Based Deep Neural Framework for&#xa0;Cyber Attack Detection,Advances in Knowledge Discovery and Data Mining,,,,10.1007/978-981-96-8183-9_8,Zhi LiuJyotheesh GaddamShuo HuangIshara BandaraMing LiuSutharshan RajasegararMuneeb Ul HassanLuxing YangGang LiMaia Angelova,2025,https://link.springer.com/chapter/10.1007/978-981-96-8183-9_8,Conference paper
