key,title,veredict,code,reason
6RHCCHK8,One for all: LLM-based heterogeneous mission planning in precision agriculture,,,
37ZGRRJI,Generative AI and large language models: a new frontier in reverse vaccinology,,,
3BNDR4X7,Zero-shot load forecasting for integrated energy systems: a large language model,,,
39F75VDM,Large language models-empowered automatic knowledge graph development based on m,,,
2PEKJHI7,Enhancing maritime cyber situational awareness: a cybersecurity visualisation fo,,,
2URXTDUG,Randomized CNN based deep learning technique for the cyber-attacks detection in,,,
2A7M39EI,IIoT-enabled digital twin for legacy and smart factory machines with LLM integra,,,
2NKZ7GAH,A multilayered deep learning framework for cyber attack detection and mitigation,,,
2QWVETEU,"Cybersecurity for tactical 6G networks: threats, architecture, and intelligence",,,
2N4QNK5F,Rethinking driver fatigue detection as anomaly identification: a hypergraph-tran,,,
3JJIFE77,Harnessing GPT-4 for generation of cybersecurity GRC policies: a focus on ransom,,,
2R3GCPCJ,Reducing the risk of social engineering attacks using SOAR measures in a real wo,,,
2EBQQT8R,CTIMD: cyber threat intelligence enhanced malware detection using API call seque,,,
29TI9UU4,On-device derivation of IoT usage control policies: automating U-XACML policy ge,,,
3ATZPMM4,"CANSat-IDS: an adaptive distributed intrusion detection system for satellites, b",,,
3JZRTA9N,Real-time taxi spatial anomaly detection based on vehicle trajectory prediction,,,
3NBN4592,Explainable anomaly detection using vision transformer based SVDD,,,
3HK6TWAX,An empirical investigation into the capabilities of anomaly detection approaches,,,
3HKNP4CP,Detecting abnormal logins by discovering anomalous links via graph transformers,,,
3KW5IKGW,Development and validation of coreLang: a threat modeling language for the ICT d,,,
2RVUNAB5,Generative AI in medical practice: In-depth exploration of privacy and security,,,
35QUKITD,Online grooming detection: a comprehensive survey of child exploitation in chat,,,
2M7E6EUG,Legally-aware AI moderation in Vietnam: a cybersecurity law-compliant framework,,,
3AD77F3Z,Workplace security and privacy implications in the GenAI age: a survey,,,
3HRGNRWD,An ethical assessment framework for AI security and ethics in smart grid,,,
3J4V5E96,NFIoT-GATE-DTL IDS: genetic algorithm-tuned ensemble of deep transfer learning f,,,
2NHNEXZQ,VulDIAC: vulnerability detection and interpretation based on augmented CFG and c,,,
37TQPKG7,Suspicious minds: psychological techniques correlated with online phishing attac,,,
3MPN2VB7,SKT-IDS: unknown attack detection method based on sigmoid kernel transformation,,,
35A43RWP,Phishing URL detection generalisation using unsupervised domain adaptation,,,
2SR55RGX,Vishing: detecting social engineering in spoken communication — a first survey &,,,
3ECJJSE9,Learning from usage analysis of mobile devices,,,
27TVBHBS,GramBeddings: a new neural network for URL based identification of phishing web,,,
2D6H3KX7,Privacy for IoT: informed consent management in smart buildings,,,
37RCJQQ9,The contagion effect of artificial intelligence across innovative industries: fr,,,
2XJXZF29,"Industrial digital twins based on enterprise modeling: architecture, methodology",,,
3NVEMASB,Deconstructing a form of hybrid investment fraud: examining ‘pig butchering’ in,,,
