Key,Vote,Reason,Code,DOI,Title
IBU9PFFK,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/978-981-97-1260-1_18,0A Comprehensive Review on Anomaly Detection Techniques for Web Data Logging
9SIIZJTR,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s00464-025-11690-9,"2025 SAGES Annual Meeting, Long Beach, California, USA, 12–15 March 2025: Poster"
ED9R2HVU,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,EC1,10.1007/s40264-022-01219-7,"21st ISoP Annual Meeting “A New Era of Pharmacovigilance: Challenges and Opportunities” 20–23 September 2022 Verona, Italy"
45EA7M86,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,EC1,10.1007/s40264-023-01350-z,"22nd ISoP Annual Meeting “Putting Patients First in Pharmacovigilance: International Perspectives from Global South” 6–9 November 2023 Bali, Indonesia"
5JNZQ9LT,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,EC1,10.1007/s40264-025-01605-x,"24th ISoP Annual Meeting “Pharmacovigilance: Back to the Future” 24–27 October 2025 Cairo, Egypt"
N8XUHTM7,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,EC1,10.1007/s00428-025-04179-2,37<sup>th</sup> European Congress of Pathology - Abstracts
U3HB88DL,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1631/FITEE.2400569,6G autonomous radio access network empowered by artificial intelligence and network digital twin
RNN8ZZ95,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/978-3-031-68639-9_4,A BERT-Based Chatbot to Support Cancer Treatment Follow-Up
SFAF8IUT,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s13198-024-02643-x,A brief survey of deep learning methods for android Malware detection
XHXCFR6G,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.","EC4, EC1",10.1007/978-3-031-56310-2_1,A Brief Survey on Exploring the Application Areas and Scope of ChatGPT
UC2NFCLG,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1038/s42256-024-00800-2,A collective AI via lifelong learning and sharing at the edge
6SJFUJ5H,EXCLUDE,"This paper presents a dataset for malicious email detection but does not explicitly mention the use of LLMs, though they could potentially be employed for feature extraction.",EC2,10.1186/s42400-024-00309-6,A combined feature selection approach for malicious email detection based on a comprehensive email dataset
ZBCKS29H,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/978-3-031-94445-1_18,"A Comparative Study on Source Code Attribution Using AI: Datasets, Features, and Techniques"
JQFIEHS9,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC4, EC1",10.1007/978-3-032-04728-1_5,A Comparative Study to Analyze the Challenges and Opportunities of AI-Powered ERP Adoption for SMEs
V74CJQ48,EXCLUDE,It’s not in the context of cybersecurity. The paper doesn’t develop an LLM for cybersecurity; it only provides an analysis of privacy from a societal perspective.,EC1,10.1007/978-3-031-61281-7_19,A Comprehensive Analysis of Public Sentiment Towards ChatGPT’s Privacy Implications
GGQEQQMV,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/s10620-024-08659-4,A Comprehensive Examination of ChatGPT's Contribution to the Healthcare Sector and Hepatology
9I5ZX3HE,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1038/s41598-025-94069-z,A comprehensive framework for multi-modal hate speech detection in social media using deep learning
TZBCJHBM,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s00500-025-10702-z,A comprehensive review of generative AI techniques and their impact on cybersecurity
WT5LBSHU,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,"EC4, EC1",10.1007/s13369-025-10887-3,"A Comprehensive Review of Neuro-symbolic AI for Robustness, Uncertainty Quantification, and Intervenability"
