Key,Vote,Reason,Code,DOI,Title
CC2S99CB,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s42486-025-00208-w,A survey of foundation models for IoT: taxonomy and criteria-based analysis
2DKYR4BQ,EXCLUDE,"This is a secondary study (review/survey). Furthermore, it discusses detection in a general sense without proposing a specific intervention using Large Language Models (LLMs), BERT, or GPT-based architectures for a threat detection task.","EC4, EC2",10.1007/978-981-97-8798-2_6,A Survey on Acoustic Side Channel Attacks on Keyboards
X9QQMMUR,EXCLUDE,"This is a secondary study (review/survey). Furthermore, it discusses detection in a general sense without proposing a specific intervention using Large Language Models (LLMs), BERT, or GPT-based architectures for a threat detection task.","EC4, EC2",10.1007/s10462-022-10381-4,"A survey on artificial intelligence techniques for security event correlation: models, challenges, and opportunities"
62R7LIZ6,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/978-981-96-4506-0_2,A Survey on Covert Network Attack
4T6YJIDR,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s12652-021-03658-z,"A survey on extremism analysis using natural language processing: definitions, literature review, trends and challenges"
RE93UHUA,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/s10462-025-11376-7,"A survey on large language models unlearning: taxonomy, evaluations, and future directions"
F9C7CALY,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s11704-025-41059-z,A survey on learning from graphs with heterophily: recent advances and future directions
QB76KGVE,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC4,10.1007/s44336-024-00009-2,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges"
E9UGR3GU,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/978-981-95-3072-4_4,A Survey on Malware Analysis with Large Language Models
28C75HRM,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/s11227-025-08146-1,A survey on privacy issues and mitigation strategies for LLMs in healthcare
6JJFQVS7,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/s44443-025-00177-1,A survey on privacy risks and protection in large language models
M5MGRHFC,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s10515-024-00464-7,A survey on robustness attacks for deep code models
NBVZ2SGE,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s11633-025-1544-6,A Survey on Writing Style Change Detection: Current Literature and Future Directions
XRPHE66H,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/s10515-025-00570-0,A systematic exploration of C-to-rust code translation based on large language models: prompt strategies and automated repair
CXYT6J3B,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s43681-025-00674-z,A systematic literature review of artificial intelligence (AI) transparency laws in the European Union (EU) and United Kingdom (UK): a socio-legal approach to AI transparency governance
RKU3F66E,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s00779-024-01794-9,A systematic review and research challenges on phishing cyberattacks from an electroencephalography and gaze-based perspective
6EZTAL9N,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s42979-025-04569-y,A Systematic Review of Academic Integrity and Misconduct with Artificial Intelligence in Higher Education
