Key,Vote,Reason,Code,DOI,Title
6SFQN6EN,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-030-78428-7_5,An Approach to Detect Cyberbullying on Social Media
5UDGVW2J,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC4,10.1007/s11417-025-09474-0,An Artificial Intelligence-Driven Temporal Network Analysis of Myanmar’s Cyber Scam Ecosystem
XPUSXLHC,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/978-3-031-85930-4_31,An Edge AI Course Template
TLDS8NCC,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s11042-023-16402-w,An efficient automated multi-modal cyberbullying detection using decision fusion classifier on social media platforms
BZUARYMA,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.","EC2, EC1",10.1007/s11277-022-09646-6,An Efficient Fake News Identification System Using A-SQUARE CNN Algorithm
5EC5Q59J,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC2, EC1",10.1038/s41598-025-08870-x,An elegant intellectual engine towards automation of blockchain smart contract vulnerability detection
AJ7WHRX7,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/978-3-031-97629-2_12,An Empirical Assessment of LLM-Based Approaches to Malicious Webpage Detection
9BIA4MT6,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/978-981-96-6008-7_22,An Empirical Review of the Effectiveness of Different Language Processing Approaches in Software Code Vulnerability Detection
ZBPEQ7EF,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1007/s00170-024-13492-0,An experimental hybrid customized AI and generative AI chatbot human machine interface to improve a factory troubleshooting downtime in the context of Industry 5.0
ELPB6YX6,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s42496-025-00293-1,An Explainability-Based Framework for Evaluating Space Mission Architectures Using Sandbox Games
CR4A2ZHU,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/978-981-19-3679-1_45,An Exploration of Machine Learning and Deep Learning Techniques for Offensive Text Detection in Social Media—A Systematic Review
WDQE87W5,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,EC1,10.1007/s11227-025-07021-3,An extensive bibliometric analysis of artificial intelligence techniques from 2013 to 2023
XKBAYJS8,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-981-96-9245-3_7,An Improved Model for Deep Dive Phishing Detection
