Key,Vote,Reason,Code,DOI,Title
USUG2HQU,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1038/s41598-025-21782-0,Enhanced drug-drug interaction extraction from biomedical text using deep learning-based sentence representations
FQTCQ3ND,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC2,10.1007/s10586-025-05454-2,Enhanced security of smart contracts in fog computing: hybrid classifiers and feature selection for improved attack detection for registration and resource access granting
5U8QLE6Q,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/978-3-031-89103-8_7,Enhancing Accuracy and Explainability in Anomaly Classification with Large Language Models
JNKGB6A3,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-031-89933-1_4,Enhancing Analytics Pipelines with Advanced Multi-agent Feedback Integration
2J8GLAM9,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s41060-025-00837-5,Enhancing anti-money laundering via Fourier-based contrastive learning
5AURT3CZ,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-031-91235-1_37,Enhancing Cloud Security Through Anomaly Detection: An Artificial Intelligence Driven Approach to Secure Authentication and Authorization in SAML and OAuth 2.0 Protocols
N6SU5Y69,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/978-3-032-06697-8_45,Enhancing Cloud Security with AI and Attribute Based Encryption*
PCJ3FQFH,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.","EC1, EC2",10.1007/978-3-031-88304-0_20,Enhancing Cyber Resilience Through AI-Driven Phishing Tests and Gamified Learning
Y772CU2D,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/978-3-032-00633-2_3,Enhancing Cyber Situational Awareness with AI: A Novel Pipeline Approach for Threat Intelligence Analysis and Enrichment
HTFKC7NX,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",EC4,10.1007/s13278-023-01158-w,Enhancing cyberbullying detection: a comparative study of ensemble CNN–SVM and BERT models
