Key,Vote,Reason,Code,DOI,Title
3F2X4WJU,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1186/s13677-024-00674-0,From data to insights: the application and challenges of knowledge graphs in intelligent audit
V5VFDA9H,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC2, EC1",10.1007/978-981-97-6995-7_7,From Detection to Disruption: Leveraging NLP Insights to Proactively Combat Cybercrime in Bangladesh
T2LMDERF,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-981-97-9674-8_18,From DPI Data to Warning: Real-Time Risk Assessment in the Fight Against Internet Fraud
9LQLBLF8,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1057/s41599-024-03899-1,From online hate speech to offline hate crime: the role of inflammatory language in forecasting violence against migrant and LGBT communities
N2D8IELW,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-032-02515-9_6,From Regulation to Implementation: Understanding the Impact of the EU AI Act on Public Sector Institutions in Germany
Z4XQEJ3R,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1007/978-3-031-70274-7_25,From the Evolution of Public Data Ecosystems to the Evolving Horizons of the Forward-Looking Intelligent Public Data Ecosystem Empowered by Emerging Technologies
GEWCRG6V,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,"EC4, EC2",10.1007/s10207-025-01173-2,From voltage to vulnerability: A comprehensive survey of dynamic security risk assessment techniques in smart grids
MJKRKYRY,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC1, EC4",10.1007/s10479-024-05879-9,Frontiers and trends of supply chain optimization in the age of industry 4.0: an operations research perspective
U8X3MNZB,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1038/s41598-025-24171-9,Fusion of deep transfer learning models with Gannet optimisation algorithm for an advanced image captioning system for visual disabilities
ULW42YT7,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC4, EC1",10.1007/978-3-031-63543-4_7,Future Directions in Defence NLP: Investigating Research Gaps for Low-Resource Languages
EVSZFNHZ,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s10664-025-10700-7,Fuzzing-based mutation testing of C/C++ software in cyber-physical systems
VPL7K5V5,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-031-67195-1_78,Fuzzy Embedding to Detect Intrusion in Software-Defined Networks
ZKLFZQBJ,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s10614-024-10769-0,GA-LSTM: Performance Optimization of LSTM driven Time Series Forecasting
GXDD38Z5,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC4, EC1",10.1007/s10462-023-10395-6,Games of GANs: game-theoretical models for generative adversarial networks
5NHCHPBG,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-030-90328-2_32,"Gender Differences in Psychosocial Experiences with Humanoid Robots, Programming, and Mathematics Course"
T3D3YJB8,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/s00500-025-10492-4,Gender opposition recognition method fusing emojis and multi-features in Chinese speech
G34R7QGV,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/978-3-031-94953-1_20,Gender-Based Violence as a Cyberthreat: The Impact of Social Media on Digital Security
FF6MQ8SS,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-032-00635-6_9,"Generating Deepfakes with Stable Diffusion, ControlNet, and LoRA"
