Key,Vote,Reason,Code,DOI,Title
XB29K7UJ,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.","EC4, EC1",10.1007/978-3-031-81404-4_1,Invited Paper: Security and Privacy in Large Language and Foundation Models: A Survey on GenAI Attacks
6K3PYCEE,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s11142-022-09697-x,Is artificial intelligence improving the audit process?
P6FFP2VF,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/s11142-024-09833-9,Is it all hype? ChatGPT’s performance and disruptive potential in the accounting and auditing industries
6YENCQ6X,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/978-981-96-0573-6_17,Is this Site Legit?: LLMs for Scam Website Detection
NXGWKHQH,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-032-05673-3_15,"IT Applications, Systems, and Services Towards an Agnostic Digital Ecosystem"
EDYGCHE2,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/978-981-96-0573-6_16,iText2KG: Incremental Knowledge Graphs Construction Using Large Language Models
35S6TCLB,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",,10.1007/978-3-032-08064-6_20,Jailbreaking Large Language Models Through Content Concretization
R7IZT7TI,EXCLUDE,"Excluded due to IC1 violation. The LLM is used exclusively for post-detection explainability, generating natural language explanations of detection results. The actual threat detection is performed by a separate system.",,10.1007/s11227-025-07952-x,KDCFI AI-based knowledge discovery framework for cloud forensic investigation
7QTWY578,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s41471-024-00189-z,Knowledge Leaks in Data-Driven Business Models? Exploring Different Types of Knowledge Risks and Protection Measures
FUSIYD6M,EXCLUDE,"Justificativa:

Response/recommendation system, não detection
""Analyst identifies... attack"" → detection já foi feita
Similar a incident response.",,10.1007/978-3-031-10684-2_7,Knowledge Mining in Cybersecurity: From Attack to Defense
YBQGNAR6,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,,10.1038/s41598-023-28796-6,Knowledge mining of unstructured information: application to cyber domain
A6D3GS2I,EXCLUDE,"Evidências DEFINITIVAS:

""LLM does not perform classification but is used exclusively to generate... descriptions""
""threats already identified with high confidence by the ML models"".",,10.1007/s11227-025-08129-2,L2DAPT – LLMs and Linux: decoding advanced persistent threats
2FTJMSWE,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC1, EC4",10.1007/s10462-024-11036-2,Landscape of machine learning evolution: privacy-preserving federated learning frameworks and tools
JAVPUXJF,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,"IC1, IC2, EC4",10.1007/s13347-024-00794-0,Language Agents and Malevolent Design
Y2RU5WJT,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/978-981-96-4506-0_28,Language Game for Evading Privacy Disclosure Risks via LLM-Based Multi-agent Simulation
9KWBT8HD,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",,10.1007/978-3-032-13562-9_7,Language Model-Driven Agent-Based Framework for Generating and Evaluating Cyber Attack Scenarios
6IKLN448,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC9,10.1007/s12599-025-00966-y,Large Action Models for Programmatic Orchestration
RTK68DG7,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",IC2,10.1007/978-981-96-8183-9_8,Large Language Model and Variational Autoencoder Based Deep Neural Framework for Cyber Attack Detection
LE76JER2,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1038/s41598-025-15627-z,Large language model driven transferable key information extraction mechanism for nonstandardized tables
GMRY4VI8,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/978-3-032-05176-9_25,Large Language Model Framework for Log Sequence Anomaly Detection
6ES43WQW,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/s00521-024-10510-w,Large Language Model XAI approach for illicit activity Investigation in Bitcoin
