Key,Vote,Reason,Code,DOI,Title
WN2FD6I5,EXCLUDE,"Justificativa:

Foco em ANALYSIS, não DETECTION
""Maliciousness determination"" (detection) já foi feito por Cuckoo
LLM faz análise/interpretação tática (similar a P0811 Suricata)
Objetivo: entender estratégias, não detectar malware

Similar a: Casos de interpretação/análise pós-detecção.",EC1,10.1007/s11227-025-07545-8,Malgta: large language model-based guided malware tactical analysis
9X356LB2,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/s10207-022-00626-2,Malicious code detection in android: the role of sequence characteristics and disassembling methods
25HANSRU,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/978-3-030-49345-5_14,Malware Behavior Profiling from Unstructured Data
2GFL64RB,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/s10207-025-01013-3,Malware classification method based on feature fusion
DRCNR4KJ,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC4,10.1057/s41599-025-05083-5,Mapping technological futures: anticipatory discourse through text mining
PIG3RELW,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.","EC1, EC4",10.1007/s11023-024-09694-w,Mapping the Ethics of Generative AI: A Comprehensive Scoping Review
LBANMW6Q,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/978-3-032-00635-6_7,Mapping the Research Landscape - An Exploratory Analysis of AI Applications in Digital Forensics
8GAZPR4W,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/s10723-023-09728-0,Marine Goal Optimizer Tuned Deep BiLSTM-Based Self-Configuring Intrusion Detection in Cloud
ZFKVWGJ8,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC1, EC4",10.1007/s00146-025-02804-x,May AI be sustainable? An outlook on sustainability and technology
E75HEXQL,INCLUDE,"Uses GraphCodeBERT (transformer-based LLM for code) for vulnerability detection, a cybersecurity threat detection task.","IC1, IC2",10.1007/s10515-025-00543-3,MCL-VD: Multi-modal contrastive learning with LoRA-enhanced GraphCodeBERT for effective vulnerability detection
6TTRJYLF,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/978-3-031-93415-5_3,Mechanistic Exploration of the Architectural Impact of DPO Fine-Tuning on Ethical Alignment in LLMs
BEHSR7NG,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1186/s12919-024-00292-3,Meeting Abstracts from the 5th National Big Data Health Science Conference
N432HRLJ,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/978-3-031-94448-2_3,MEMO: Detecting Unknown Malicious Encrypted Traffic via Metric Learning and Order-Aware Pre-training
FRJ4IE36,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC2, IC1",10.1007/978-981-96-9914-8_13,MENTOR: Malicious Network Traffic Detection Through Optimized LLM-Based Recognition
Q3VHWH7G,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/s13369-025-10466-6,"MILA: An Innovative Approach to Identifying AI-Generated Content Using BERT, CNN, and BiLSTM"
