Key,Vote,Reason,Code,DOI,Title
SV6X76JU,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-031-67871-4_2,Toward a Unified Cybersecurity Knowledge Graph: Leveraging Ontologies and Open Data Sources
998KUP6J,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/s41060-025-00856-2,"Toward sustainable smart cities: applications, challenges, and future directions"
YAVLN6U4,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-031-80889-0_11,Towards a Knowledge Graph Based Approach for Vulnerable Code Weaknesses Identification
K7ANL2Z3,INCLUDE,Uses GPT-based Large Language Models for vulnerability identification (cyber threat detection task).,"IC1, IC2",10.1007/978-3-031-82362-6_11,Towards AI-Based Identification of Publicly Known Vulnerabilities
MB9HZJTN,INCLUDE,Applies LLMs (GPT with Chain-of-Thought) to buffer overflow vulnerability detection.,"IC1, IC2",10.1007/s11219-025-09733-4,Towards combining chain-of-thought and code static analysis for buffer overflow vulnerability detection
NCFWF2KN,INCLUDE,Applies fine-tuned LLMs to log anomaly detection (core cyber threat detection task).,"IC1, IC2",10.1007/978-3-032-07884-1_5,Towards Context-Aware Log Anomaly Detection Using Fine-Tuned Large Language Models
W2RH2V66,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC9,10.1007/s10586-024-05092-0,Towards deep learning enabled cybersecurity risk assessment for microservice architectures
PIH68T9J,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1007/978-3-031-10183-0_10,Towards Detection of AI-Generated Texts and Misinformation
DEM6S635,INCLUDE,Applies LLMs (ChatGPT-4) to botnet detection via source code classification (core cyber threat detection task).,"IC1, IC2",10.1007/978-3-031-73128-0_18,Towards Establishing the Role of LLMs in Botnet Detection: Effective Prompts for Source Code Analysis
U6DXLWMT,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s43681-025-00759-9,Towards ethical evolution: responsible autonomy of artificial intelligence across generations
